,Category,Paths,Images,Word,Colour
1,Congruent,www|stroopWord|Resized|Congruent,resized-img0.png,Red,Red
2,Congruent,www|stroopWord|Resized|Congruent,resized-img10.png,Green,Green
3,Congruent,www|stroopWord|Resized|Congruent,resized-img13.png,Blue,Blue
4,Congruent,www|stroopWord|Resized|Congruent,resized-img7.png,Yellow,Yellow
5,Incongruent,www|stroopWord|Resized|Incongruent,resized-img1.png,Blue,Red
6,Incongruent,www|stroopWord|Resized|Incongruent,resized-img11.png,Yellow,Green
7,Incongruent,www|stroopWord|Resized|Incongruent,resized-img12.png,Red,Blue
8,Incongruent,www|stroopWord|Resized|Incongruent,resized-img14.png,Green,Blue
9,Incongruent,www|stroopWord|Resized|Incongruent,resized-img15.png,Yellow,Blue
10,Incongruent,www|stroopWord|Resized|Incongruent,resized-img2.png,Green,Red
11,Incongruent,www|stroopWord|Resized|Incongruent,resized-img3.png,Yellow,Red
12,Incongruent,www|stroopWord|Resized|Incongruent,resized-img4.png,Red,Yellow
13,Incongruent,www|stroopWord|Resized|Incongruent,resized-img5.png,Blue,Yellow
14,Incongruent,www|stroopWord|Resized|Incongruent,resized-img6.png,Green,Yellow
15,Incongruent,www|stroopWord|Resized|Incongruent,resized-img8.png,Red,Green
16,Incongruent,www|stroopWord|Resized|Incongruent,resized-img9.png,Blue,Green
